,no_of_vertices,cds_size,time,cds_size,time,cds_size,time,cds_size,time
0,10,1,0.02486109733581543,1,0.003135204315185547,1,0.0010080337524414062,1,0.007620811462402344
1,20,1,0.03454470634460449,1,0.009367704391479492,1,0.002001523971557617,1,0.02211904525756836
2,30,1,0.04319882392883301,1,0.015432357788085938,1,0.003995180130004883,1,0.046056509017944336
3,40,1,0.06498456001281738,1,0.023856163024902344,1,0.013490438461303711,1,0.07702279090881348
4,50,1,0.06233549118041992,1,0.03707766532897949,1,0.014161348342895508,1,0.11055469512939453
5,60,1,0.07590055465698242,1,0.05466771125793457,1,0.02080845832824707,1,0.15964174270629883
6,70,1,0.11211156845092773,1,0.09788131713867188,1,0.031142711639404297,1,0.20226192474365234
7,80,1,0.09219622611999512,1,0.09810614585876465,1,0.035691022872924805,1,0.2563509941101074
8,90,1,0.10659313201904297,1,0.12079930305480957,1,0.047104597091674805,1,0.32621288299560547
9,100,1,0.11332559585571289,1,0.1492147445678711,1,0.06098222732543945,1,0.38194894790649414
10,110,1,0.12404227256774902,1,0.1951608657836914,1,0.08452415466308594,1,0.4701263904571533
11,120,1,0.16739249229431152,1,0.2159886360168457,1,0.08377766609191895,1,0.5548696517944336
12,130,1,0.14815473556518555,1,0.25564146041870117,1,0.09649109840393066,1,0.6332364082336426
13,140,1,0.15335988998413086,1,0.2874462604522705,1,0.11317229270935059,1,0.7375714778900146
14,150,1,0.16629266738891602,1,0.34388041496276855,1,0.1356525421142578,1,0.8365459442138672
15,160,1,0.17873573303222656,1,0.3764500617980957,1,0.14350175857543945,1,0.977198600769043
16,170,1,0.21003961563110352,1,0.47863149642944336,1,0.1593189239501953,1,1.0699455738067627
17,180,1,0.1960005760192871,1,0.4755873680114746,1,0.18300962448120117,1,1.1886143684387207
18,190,1,0.22228527069091797,1,0.5329232215881348,1,0.20482540130615234,1,1.3236193656921387
19,200,1,0.24259281158447266,1,0.5727813243865967,1,0.23748779296875,1,1.5729706287384033
20,210,1,0.2332313060760498,1,0.6562328338623047,1,0.27025413513183594,1,1.7362220287322998
21,220,1,0.31690359115600586,1,0.7109417915344238,1,0.26569151878356934,1,1.8413889408111572
22,230,1,0.2668015956878662,1,0.758002758026123,1,0.30350208282470703,1,1.9348907470703125
23,240,1,0.26113319396972656,1,0.7445592880249023,1,0.2508203983306885,1,1.5007946491241455
24,250,1,0.1698617935180664,1,0.6325316429138184,1,0.21416664123535156,1,1.6872892379760742
25,260,1,0.20957493782043457,1,0.7294051647186279,1,0.38437557220458984,1,1.9428257942199707
26,270,1,0.18702483177185059,1,0.7151050567626953,1,0.3626384735107422,1,2.1195225715637207
27,280,1,0.23004794120788574,1,1.1663625240325928,1,0.672288179397583,1,3.1021125316619873
28,290,1,0.31864213943481445,1,1.2672677040100098,1,0.5396332740783691,1,3.3400607109069824
29,300,1,0.35576748847961426,1,1.413813591003418,1,0.6735866069793701,1,3.6966042518615723
