,no_of_vertices,cds_size,time,cds_size,time,cds_size,time,cds_size,time
0,10,5,0.03260326385498047,4,0.006150007247924805,4,0.0,5,0.04153275489807129
1,20,10,0.09530019760131836,8,0.04177379608154297,8,0.02384662628173828,11,0.1681199073791504
2,30,15,0.14111995697021484,11,0.1246178150177002,11,0.061858415603637695,20,0.35877466201782227
3,40,20,0.19149351119995117,16,0.3150925636291504,16,0.15382957458496094,24,0.9635894298553467
4,50,25,0.2980365753173828,19,0.5390071868896484,19,0.2919466495513916,35,1.7230808734893799
5,60,30,0.30794715881347656,23,0.9015474319458008,23,0.4532501697540283,38,2.41703200340271
6,70,35,0.39457249641418457,26,1.3627841472625732,26,0.7078061103820801,44,4.300309419631958
7,80,40,0.48110413551330566,31,2.2452447414398193,31,1.0801992416381836,51,6.529655456542969
8,90,45,0.533125638961792,34,2.931335210800171,34,1.4453346729278564,58,7.76835036277771
9,100,50,0.6102011203765869,38,4.036602973937988,38,2.026855945587158,64,11.749325513839722
10,110,55,0.7799124717712402,41,5.976714134216309,41,2.7657978534698486,73,14.989073038101196
11,120,60,0.7974467277526855,46,6.802634239196777,46,3.435680866241455,86,17.854089736938477
12,130,66,0.8503189086914062,49,8.41002607345581,49,4.836111068725586,88,25.8427152633667
13,140,76,1.167478084564209,53,10.576074838638306,53,5.47868275642395,92,31.126227617263794
14,150,91,1.262141466140747,56,12.7923264503479,56,6.628101348876953,98,35.12929558753967
15,160,80,1.1946606636047363,61,16.947893142700195,61,8.238372564315796,106,48.587796211242676
16,170,85,1.4736099243164062,64,18.508036375045776,64,9.156627178192139,122,53.19284701347351
17,180,90,1.5630042552947998,68,22.62571668624878,68,10.986862897872925,118,59.35712480545044
18,190,95,1.3977699279785156,71,26.358701705932617,71,13.173786401748657,134,76.56281113624573
19,200,100,1.7361805438995361,76,30.73370385169983,76,15.191696166992188,152,85.32423901557922
20,210,105,1.8780100345611572,79,35.117608070373535,79,17.508461952209473,138,93.9350197315216
21,220,110,1.9788453578948975,83,40.098122119903564,83,20.02461004257202,144,113.80210876464844
22,230,115,2.1173055171966553,86,45.4673330783844,86,22.68775701522827,179,132.6603546142578
23,240,120,2.3094022274017334,91,52.2336266040802,91,25.834781408309937,158,140.50975823402405
24,250,125,2.6153604984283447,94,56.0793993473053,94,31.269284963607788,165,170.43519711494446
25,260,130,3.040276050567627,98,67.83788776397705,98,33.76533055305481,171,192.3167245388031
