,no_of_vertices,cds_size,time,cds_size,time,cds_size,time,cds_size,time
0,10,8,0.2449660301208496,5,0.0,5,0.0,8,0.03552579879760742
1,20,18,0.03458547592163086,10,0.06074857711791992,10,0.017902135848999023,18,0.15202784538269043
2,30,28,0.08147382736206055,15,0.15348005294799805,15,0.11720776557922363,28,0.34797191619873047
3,40,39,0.1958777904510498,20,0.3627612590789795,20,0.1620798110961914,38,0.7960560321807861
4,50,48,0.19775629043579102,25,0.6406664848327637,25,0.34865880012512207,48,1.5288021564483643
5,60,58,0.2867136001586914,30,1.1038966178894043,30,0.5440964698791504,58,2.2320234775543213
6,70,69,0.5068843364715576,35,2.581843137741089,35,1.0483624935150146,68,4.672334909439087
7,80,78,0.512580156326294,40,2.8325634002685547,40,1.4525105953216553,78,5.583770751953125
8,90,88,0.6058259010314941,45,3.5464766025543213,45,1.7643606662750244,88,7.554743766784668
9,100,99,0.9163131713867188,50,4.831936597824097,50,2.523289918899536,98,10.380660772323608
10,110,108,0.9201464653015137,55,6.482456207275391,55,3.1877682209014893,108,14.447173357009888
11,120,118,1.109447717666626,60,8.485962152481079,60,4.0916969776153564,118,16.749863862991333
12,130,129,1.5210909843444824,65,11.040655136108398,65,5.463230848312378,128,22.596181631088257
13,140,139,1.529524564743042,70,13.268999576568604,70,6.819014549255371,138,29.04051947593689
14,150,149,1.7874362468719482,75,16.48280143737793,75,5.624277591705322,148,32.65870141983032
15,160,159,2.0586464405059814,80,19.85440707206726,80,10.272184371948242,158,42.87196326255798
16,170,169,2.337268829345703,85,24.495799779891968,85,12.539889335632324,168,55.75992798805237
17,180,179,2.476072072982788,90,28.039180040359497,90,13.9381103515625,178,51.91246938705444
18,190,189,3.052250862121582,95,33.366616010665894,95,15.676100969314575,188,73.15316963195801
19,200,199,3.187474250793457,100,36.73452186584473,100,18.588891744613647,198,79.2856559753418
20,210,208,2.521010398864746,105,43.32905125617981,105,22.47680687904358,208,93.78545665740967
21,220,218,4.044406414031982,110,54.512694358825684,110,26.452162265777588,218,121.96674156188965
22,230,229,4.3738086223602295,115,62.506489276885986,115,29.91417169570923,228,133.269681930542
23,240,238,4.710075378417969,120,69.35717821121216,120,40.57259464263916,238,141.93994283676147
