,no_of_vertices,cds_size,time,cds_size,time,cds_size,time,cds_size,time
0,11,1,0.018938541412353516,1,0.0011165142059326172,1,0.0,1,0.01750040054321289
1,21,1,0.02787160873413086,1,0.007326364517211914,1,0.004063606262207031,1,0.023819923400878906
2,31,1,0.04830622673034668,1,0.016086578369140625,1,0.00621795654296875,1,0.035068511962890625
3,41,1,0.037152767181396484,1,0.03600263595581055,1,0.0,1,0.077880859375
4,51,1,0.06934714317321777,1,0.06374955177307129,1,0.004361391067504883,1,0.14960527420043945
5,61,1,0.09462118148803711,1,0.06843686103820801,1,0.01576852798461914,1,0.1562480926513672
6,71,1,0.06279492378234863,1,0.06263494491577148,1,0.03524494171142578,1,0.21200108528137207
7,81,1,0.06680679321289062,1,0.08350348472595215,1,0.03281855583190918,1,0.25179505348205566
8,91,1,0.07279396057128906,1,0.09802007675170898,1,0.051084280014038086,1,0.3139193058013916
9,101,1,0.06699538230895996,1,0.12992572784423828,1,0.06550288200378418,1,0.4021265506744385
10,111,1,0.08663463592529297,1,0.15108299255371094,1,0.07594919204711914,1,0.46781158447265625
11,121,1,0.11925387382507324,1,0.18613338470458984,1,0.07824563980102539,1,0.5224268436431885
12,131,1,0.09378933906555176,1,0.23426246643066406,1,0.09969687461853027,1,0.618635892868042
13,141,1,0.10210871696472168,1,0.22789573669433594,1,0.12120962142944336,1,0.6698815822601318
14,151,1,0.11523270606994629,1,0.26870012283325195,1,0.14382672309875488,1,0.7926321029663086
15,161,1,0.12304425239562988,1,0.3200705051422119,1,0.14819049835205078,1,0.883753776550293
16,171,1,0.1330711841583252,1,0.35137343406677246,1,0.1673729419708252,1,1.000281572341919
17,181,1,0.15226292610168457,1,0.38884401321411133,1,0.1885538101196289,1,1.1007945537567139
18,191,1,0.1514427661895752,1,0.4227941036224365,1,0.1990513801574707,1,1.2912817001342773
19,201,1,0.15561819076538086,1,0.4947028160095215,1,0.23046612739562988,1,1.5490331649780273
20,211,1,0.15944743156433105,1,0.5212256908416748,1,0.279177188873291,1,1.5831823348999023
21,221,1,0.17182469367980957,1,0.5843033790588379,1,0.27679967880249023,1,1.6555054187774658
22,231,1,0.20113039016723633,1,0.6483883857727051,1,0.3142719268798828,1,1.7802255153656006
23,241,1,0.20569849014282227,1,0.7006058692932129,1,0.36092042922973633,1,1.9441471099853516
24,251,1,0.20267271995544434,1,0.7144865989685059,1,0.36316728591918945,1,2.0880556106567383
25,261,1,0.21066784858703613,1,0.7905311584472656,1,0.3857889175415039,1,2.349721670150757
26,271,1,0.1960744857788086,1,0.8601927757263184,1,0.4827249050140381,1,2.7788493633270264
27,281,1,0.20761704444885254,1,0.9083089828491211,1,0.4477524757385254,1,2.7303600311279297
28,291,1,0.23224401473999023,1,0.9641983509063721,1,0.529595136642456,1,2.8917994499206543
29,301,1,0.23426508903503418,1,1.0941920280456543,1,0.550339937210083,1,3.013680934906006
