,no_of_vertices,cds_size,time,cds_size,time,cds_size,time,cds_size,time
0,10,1,0.014308691024780273,1,0.004052400588989258,1,0.0023539066314697266,1,0.007773399353027344
1,20,1,0.024747133255004883,1,0.008255243301391602,1,0.0,1,0.02663731575012207
2,30,1,0.0379641056060791,1,0.011716842651367188,1,0.006189823150634766,1,0.04587554931640625
3,40,1,0.040914058685302734,1,0.020507097244262695,1,0.010767698287963867,1,0.0746464729309082
4,50,1,0.04965519905090332,1,0.03054523468017578,1,0.01840972900390625,1,0.10371923446655273
5,60,1,0.0955345630645752,1,0.06081056594848633,1,0.020349740982055664,1,0.1469414234161377
6,70,1,0.06436657905578613,1,0.05944705009460449,1,0.026976585388183594,1,0.19372200965881348
7,80,1,0.07575726509094238,1,0.07889747619628906,1,0.03860163688659668,1,0.24347591400146484
8,90,1,0.08175897598266602,1,0.09954094886779785,1,0.04847574234008789,1,0.29489564895629883
9,100,1,0.08501410484313965,1,0.12157845497131348,1,0.061866044998168945,1,0.37076449394226074
10,110,1,0.08967852592468262,1,0.15135669708251953,1,0.07715940475463867,1,0.43174314498901367
11,120,1,0.09726405143737793,1,0.17399144172668457,1,0.08445048332214355,1,0.5112626552581787
12,130,1,0.10270452499389648,1,0.20566129684448242,1,0.12026357650756836,1,0.609487771987915
13,140,1,0.11324143409729004,1,0.23880338668823242,1,0.11937403678894043,1,0.6929621696472168
14,150,1,0.11575627326965332,1,0.28887367248535156,1,0.1321699619293213,1,0.8113059997558594
15,160,1,0.1291348934173584,1,0.3101978302001953,1,0.15257716178894043,1,0.8766465187072754
16,170,1,0.13237929344177246,1,0.35910987854003906,1,0.1672828197479248,1,1.0182595252990723
17,180,1,0.14278650283813477,1,0.3781917095184326,1,0.18626856803894043,1,1.113813877105713
18,190,1,0.15996217727661133,1,0.4615294933319092,1,0.2115330696105957,1,1.2621262073516846
19,200,1,0.1454920768737793,1,0.5102200508117676,1,0.23725533485412598,1,1.4019129276275635
20,210,1,0.16462945938110352,1,0.5274934768676758,1,0.2577955722808838,1,1.4868440628051758
21,220,1,0.16392111778259277,1,0.6146407127380371,1,0.3072049617767334,1,1.796149492263794
22,230,1,0.17828798294067383,1,0.6152915954589844,1,0.3301692008972168,1,1.852217674255371
23,240,1,0.18465232849121094,1,0.7139716148376465,1,0.3289642333984375,1,2.0000643730163574
24,250,1,0.18993663787841797,1,0.7622690200805664,1,0.42449474334716797,1,2.0200533866882324
25,260,1,0.19603586196899414,1,0.7452294826507568,1,0.3805358409881592,1,2.2939565181732178
26,270,1,0.20954036712646484,1,0.8502132892608643,1,0.4499783515930176,1,2.6167263984680176
27,280,1,0.21449708938598633,1,0.9471993446350098,1,0.45281386375427246,1,2.6601638793945312
28,290,1,0.21325302124023438,1,0.9781711101531982,1,0.4814791679382324,1,3.014639377593994
29,300,1,0.33890390396118164,1,1.2791109085083008,1,0.6518497467041016,1,2.9838321208953857
